,Brands,type_,year,km,fuel,Prices,owner,downpayments
0,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
1,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
2,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
3,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
4,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
5,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
6,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
7,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
8,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
9,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
10,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
11,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
12,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
13,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
14,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
15,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
16,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
17,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
18,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
19,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
20,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
21,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
22,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
23,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
24,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
25,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
26,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
27,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
28,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
29,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
30,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
31,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
32,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
33,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
34,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
35,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
36,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
37,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
38,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
39,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
40,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
41,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
42,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
43,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
44,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
45,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
46,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
47,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
48,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
49,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
50,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
51,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
52,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
53,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
54,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
55,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
56,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
57,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
58,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
59,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
60,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
61,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
62,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
63,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
64,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
65,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
66,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
67,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
68,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
69,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
70,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
71,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
72,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
73,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
74,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
75,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
76,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
77,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
78,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
79,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
80,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
81,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
82,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
83,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
84,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
85,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
86,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
87,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
88,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
89,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
90,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
91,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
92,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
93,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
94,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
95,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
96,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
97,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
98,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
99,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
100,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
101,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
102,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
103,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
104,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
105,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
106,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
107,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
108,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
109,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
110,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
111,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
112,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
113,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
114,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
115,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
116,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
117,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
118,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
119,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
120,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
121,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
122,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
123,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
124,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
125,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
126,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
127,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
128,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
129,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
130,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
131,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
132,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
133,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
134,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
135,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
136,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
137,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
138,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
139,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
140,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
141,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
142,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
143,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
144,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
145,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
146,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
147,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
148,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
149,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
150,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
151,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
152,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
153,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
154,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
155,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
156,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
157,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
158,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
159,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
160,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
161,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
162,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
163,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
164,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
165,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
166,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
167,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
168,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
169,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
170,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
171,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
172,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
173,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
174,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
175,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
176,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
177,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
178,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
179,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
180,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
181,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
182,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
183,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
184,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
185,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
186,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
187,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
188,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
189,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
190,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
191,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
192,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
193,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
194,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
195,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
196,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
197,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
198,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
199,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
200,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
201,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
202,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
203,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
204,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
205,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
206,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
207,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
208,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
209,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
210,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
211,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
212,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
213,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
214,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
215,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
216,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
217,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
218,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
219,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
220,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
221,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
222,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
223,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
224,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
225,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
226,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
227,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
228,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
229,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
230,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
231,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
232,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
233,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
234,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
235,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
236,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
237,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
238,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
239,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
240,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
241,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
242,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
243,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
244,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
245,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
246,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
247,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
248,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
249,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
