,Brands,type_,year,km,fuel,Prices,owner,downpayments
250,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
251,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
252,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
253,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
254,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
255,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
256,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
257,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
258,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
259,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
260,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
261,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
262,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
263,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
264,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
265,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
266,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
267,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
268,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
269,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
270,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
271,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
272,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
273,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
274,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
275,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
276,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
277,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
278,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
279,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
280,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
281,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
282,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
283,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
284,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
285,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
286,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
287,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
288,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
289,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
290,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
291,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
292,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
293,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
294,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
295,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
296,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
297,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
298,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
299,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
300,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
301,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
302,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
303,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
304,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
305,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
306,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
307,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
308,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
309,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
310,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
311,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
312,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
313,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
314,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
315,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
316,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
317,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
318,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
319,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
320,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
321,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
322,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
323,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
324,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
325,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
326,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
327,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
328,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
329,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
330,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
331,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
332,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
333,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
334,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
335,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
336,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
337,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
338,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
339,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
340,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
341,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
342,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
343,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
344,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
345,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
346,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
347,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
348,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
349,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
350,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
351,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
352,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
353,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
354,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
355,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
356,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
357,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
358,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
359,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
360,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
361,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
362,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
363,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
364,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
365,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
366,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
367,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
368,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
369,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
370,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
371,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
372,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
373,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
374,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
375,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
376,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
377,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
378,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
379,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
380,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
381,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
382,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
383,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
384,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
385,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
386,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
387,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
388,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
389,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
390,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
391,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
392,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
393,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
394,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
395,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
396,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
397,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
398,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
399,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
400,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
401,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
402,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
403,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
404,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
405,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
406,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
407,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
408,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
409,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
410,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
411,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
412,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
413,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
414,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
415,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
416,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
417,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
418,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
419,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
420,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
421,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
422,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
423,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
424,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
425,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
426,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
427,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
428,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
429,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
430,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
431,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
432,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
433,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
434,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
435,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
436,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
437,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
438,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
439,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
440,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
441,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
442,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
443,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
444,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
445,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
446,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
447,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
448,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
449,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
450,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
451,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
452,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
453,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
454,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
455,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
456,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
457,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
458,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
459,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
460,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
461,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
462,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
463,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
464,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
465,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
466,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
467,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
468,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
469,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
470,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
471,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
472,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
473,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
474,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
475,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
476,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
477,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
478,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
479,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
480,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
481,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
482,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
483,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
484,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
485,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
486,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
487,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
488,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
489,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
490,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
491,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
492,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
493,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
494,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
495,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
496,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
497,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
498,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
499,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
